date,AAPL,GOOGL,MSFT
2017-04-10,139.8405,841.54,63.4674
2017-04-11,139.1977,841.7,63.4577
2017-04-12,137.8928,838.46,63.2836
2017-04-13,138.1947,841.04,63.1578
2017-04-17,137.776,841.38,62.916
2017-04-18,137.7078,852.54,63.1965
2017-04-19,138.1655,857.385,63.5061
2017-04-20,137.5228,859.74,63.3223
2017-04-21,138.7108,860.62,63.5254
2017-04-24,139.7431,868.44,65.2763
2017-04-25,140.1423,882.26,65.6826
2017-04-26,140.6877,891.39,65.8567
2017-04-27,140.1545,890.0,65.9244
2017-04-28,140.3176,929.0,66.6596
2017-05-01,141.3012,924.15,66.4371
2017-05-02,143.6773,933.27,67.4335
2017-05-03,141.7784,936.05,67.1143
2017-05-04,142.684,950.29,66.7757
2017-05-05,142.9177,956.72,66.65
2017-05-08,145.1283,947.45,66.7177
2017-05-09,149.8416,961.33,66.6113
2017-05-10,149.6079,956.22,66.737
2017-05-11,149.0716,951.29,66.1276
2017-05-12,151.2717,957.85,66.3694
2017-05-15,152.5527,955.29,65.9148
2017-05-16,152.4843,963.55,66.3801
2017-05-17,150.1961,959.7,67.0222
2017-05-18,147.9178,943.2,65.5726
2017-05-19,149.981,952.82,65.6699
2017-05-22,150.5873,957.0,66.0494
2017-05-23,151.4673,969.96,66.8568
2017-05-24,150.4308,975.26,67.0028
2017-05-25,150.3232,979.0,67.1001
2017-05-26,150.5873,992.0,67.9076
2017-05-30,150.0201,992.5,67.8978
2017-05-31,150.5579,996.21,68.6178
2017-06-01,149.7756,990.96,68.3356
2017-06-02,150.1766,988.59,68.5302
2017-06-05,150.9197,997.89,70.0187
2017-06-06,150.4895,1003.31,70.3398
2017-06-07,151.5846,998.82,70.6657
2017-06-08,151.8096,1004.23,70.5441
2017-06-09,151.7509,1005.49,70.082
2017-06-12,142.5103,958.72,67.3725
2017-06-13,143.8988,972.04,68.1216
2017-06-14,144.2313,975.5,68.9875
2017-06-15,140.1439,948.02,67.3919
2017-06-16,140.5937,957.91,67.8395
2017-06-19,140.4764,969.65,68.5886
2017-06-20,143.6153,975.31,68.8999
2017-06-21,142.2952,970.79,68.3064
2017-06-22,142.5396,976.87,68.6275
2017-06-23,141.9138,975.5,68.1897
2017-06-26,143.9086,990.0,69.4642
2017-06-27,141.7965,961.6,68.2092
2017-06-28,141.288,950.66,67.3336
2017-06-29,141.5031,951.35,67.499
2017-06-30,141.2489,943.99,66.9152
2017-07-03,141.6694,933.22,67.4503
2017-07-05,140.5057,924.2,66.4045
2017-07-06,139.8506,925.0,66.419
2017-07-07,139.7332,930.985,66.8374
2017-07-10,140.9164,941.95,67.5768
2017-07-11,141.5227,950.52,68.1021
2017-07-12,142.6374,960.86,68.7734
2017-07-13,142.2756,970.8,69.5615
2017-07-14,144.6909,974.0,70.2814
2017-07-17,145.522,976.32,70.8262
2017-07-18,145.8936,973.36,71.1084
2017-07-19,147.1453,990.01,71.5072
2017-07-20,148.1427,997.0,72.1688
2017-07-21,146.6661,989.0,71.4586
2017-07-24,147.243,994.1,71.5364
2017-07-25,148.436,970.7,71.7991
2017-07-26,149.9517,972.78,72.3245
2017-07-27,150.3428,969.18,71.7602
2017-07-28,146.5683,947.99,70.6998
2017-07-31,146.5781,960.0,71.3127
2017-08-01,153.5794,947.81,71.1181
2017-08-02,155.7502,948.37,70.583
2017-08-03,153.5697,949.1,70.2328
2017-08-04,152.6114,943.95,70.4371
2017-08-07,153.5794,947.52,70.8262
2017-08-08,155.0853,944.29,70.1355
2017-08-09,155.7307,938.45,70.2911
2017-08-10,156.9706,935.0,69.9506
2017-08-11,153.731,923.71,69.6685
2017-08-14,156.4012,939.07,71.0792
2017-08-15,157.7166,941.03,71.9763
2017-08-16,158.9732,941.25,71.7318
2017-08-17,157.5792,942.95,71.9665
2017-08-18,154.9679,926.98,70.6852
2017-08-21,154.6145,925.77,70.8808
2017-08-22,155.3312,926.96,70.7635
2017-08-23,156.1558,937.0,71.3601
2017-08-24,157.4909,943.71,71.1449
